delta_e,delta_t,delta_a,delta_r
0.07821424946698538,0.12566104161233485,-0.07358405509573812,-0.11746798953100185
0.07948885357530398,0.12738645827372036,-0.07235613189658029,-0.12275948288281435
0.07862372671398533,0.12683445544134628,-0.07041442633285619,-0.12647603035122654
0.07590919307987656,0.12547693448191366,-0.06788527821140859,-0.1286436244015737
0.07174711072387148,0.12352128942958261,-0.06489743939472689,-0.1293368431114072
0.06660778694665638,0.12114409642627093,-0.061577572463621624,-0.12867487214642978
0.06098552354264869,0.11853178364477636,0.0012984572548835813,0.013605333329764904
0.055094681201573764,0.11587701874238017,0.0018928325959660039,0.009349487600720432
0.04949176729099876,0.11336000287410898,0.003138340552859282,0.006370195018661244
0.04479634639558797,0.1111278699710321,0.004870459521002864,0.004676676833903225
0.041322753072833306,0.10928080303092,0.006912836611424356,0.004200021661322136
0.0391000326225597,0.10786867759914728,0.009088507934268504,0.004805954461437737
0.0379644730648893,0.10689983889918334,0.011229861637562222,0.006309885438108934
0.03764927802043013,0.10634115653388047,0.01318699271754199,0.008493025525805453
0.0378529734878703,0.10620713008914798,0.014834153804396436,0.011118547485280322
0.03829094762583273,0.10631986963381677,0.01607422978261423,0.013946908761227693
0.03872463026948845,0.1065332795967981,-0.007333684375034671,-0.04045262722828817
0.038872872492754174,0.1068098169879278,-0.0047595750702464955,-0.032429341902748245
0.0386753437137202,0.10710165963194787,-0.0030651676361847027,-0.02524856118796724
0.03825357031099657,0.107378228883466,-0.0021894446392900463,-0.019146684882877338
0.03773374945757594,0.10761962668269011,-0.002033916320414594,-0.014271911185274214
0.03720219392069692,0.10781493148211309,-0.0024714989658905966,-0.010684339784048126
0.036706266472961685,0.10795985412858783,-0.0033566655573015556,-0.008362718268449894
0.0362657216302638,0.10805413530366886,-0.004535581680679166,-0.0072152361869256
0.0358824263586456,0.10809930072101136,-0.005855529503616199,-0.007092933014937084
0.035546227020214274,0.10809768870520788,-0.007173164944073295,-0.007804615510455454
0.03523841000777956,0.10805198314555098,-0.008361299922647959,-0.009132304791736826
0.03493484794222518,0.10796596739158967,-0.009314022336297016,-0.010846333338953072
0.03461024670493946,0.10784049259986313,-0.009950077027403009,-0.012719332150098286
0.034243314676486315,0.10769118234101609,-0.010214531982750895,-0.014538492639062737
0.03382273399682734,0.10752211438631153,-0.01007884185494794,-0.016115648300860857
0.03335150079018381,0.1073445028024201,-0.009539492207597318,-0.017294886735298956
0.0328490560127684,0.10717201654217261,-0.008615460507706948,-0.017957563347717025
0.03235011006484146,0.10702049253533436,-0.007344763346629042,-0.01802473632105864
0.03190021163066232,0.1069066756536322,-0.005780374650276336,-0.01745717309887963
0.03154885042227022,0.1068451381301663,-0.0039857986790415,-0.01625318820094227
0.031341427573149915,0.10684459076410603,-0.0020305667730083836,-0.014444658236638683
0.0313115971896949,0.10690936720758044,1.4099581365861517e-05,-0.012091620399375162
0.03147559961211273,0.1070303732351568,0.0020792525337175304,-0.009275893763707415
0.03182913572971902,0.10720375759036896,0.0953957535671093,0.5235987642530652
0.03234016549095118,0.10741852431713259,0.09086235809827367,0.5235986451717018
0.03317290737220187,0.1076416648155991,0.08672252502098537,0.4908118637131717
0.034793928294241494,0.10778049159707487,0.0832458523580251,0.4554347614826907
0.0374748054547209,0.10771190282311825,0.08057994612759768,0.42617031436786945
0.04088797257629854,0.10737323515032872,0.07877478954401351,0.40298830510814637
0.04404534768609894,0.10642425639369672,0.07783054824282247,0.3854941975855999
0.04548628001462918,0.10455552914308311,0.07770354243269223,0.3729945957633052
0.04359263527676059,0.10148885994541808,0.0783138323652219,0.3645704355646505
0.03650263507200415,0.10000002008660039,0.07955390999612588,0.35915311514394926
0.022681057402262214,0.09999999803319419,0.08129754101663493,0.3555990948533245
0.0032659363664814013,0.09999999128764306,0.08525086143900924,0.22654188791878316
-0.01992856817836032,0.09999999073231516,0.08850376745518869,0.242071920853915
-0.04577641183031629,0.09999999132991698,0.09167107401211351,0.2536916510559679
-0.07261934720266444,0.09999999096673896,0.08897159697904826,0.2605635781200871
-0.0979362609941323,0.09999999027378306,0.056058219278032236,0.2622104463250686
-0.11956396959068093,0.09999999062439703,0.02416840714568042,0.2587421937709212
-0.1347189348495771,0.09999999019645854,-0.0018283371721515929,0.2503208398355529
-0.14026129506838714,0.09999999017651973,-0.008315993869146346,0.2373926041308915
-0.1357862797942384,0.09999999045137258,0.0015626222578333528,0.22048519851394957
-0.12145382193260869,0.09999999015594954,-0.0005943528203753977,0.2004905456951304
-0.09904119113423175,0.09999999015174886,0.0006023336247842184,0.17822519435603343
-0.0720452917395455,0.09999999015054291,-0.0004796994707688257,0.15452385889053555
-0.044015141476905946,0.0999999904193582,-0.0008276501963274962,0.13017398463780946
-0.016926886794553987,0.09999999015627356,-0.0019150396707274598,0.10593050655363431
0.006903337304521897,0.09999999044968438,-0.010313076870126526,0.08264076173655334
0.026230134116773936,0.09999999017314003,-0.01873674716172175,0.060833832507853805
0.04128131494084419,0.0999999905147503,-0.026160034259220283,0.04077603091349935
0.05325463502358308,0.09999999056293929,-0.03196938592497151,0.022601538463608135
0.06203031048041661,0.09999999062421916,-0.036364735757377156,0.006381722057507542
0.06816401423756879,0.09999999025436859,-0.039580714455887116,-0.007904273992025942
0.07214981809688586,0.09999999028916318,-0.04186955890383545,-0.02035282937946204
0.07429784551183895,0.0999999909157217,0.048875499218040526,0.38363162009345886
0.07561029346822534,0.09999999038405279,0.012483467105370172,0.3360361455365448
